dataset,mean_accuracy,Hits@1,Hits@3,Hits@5,Hits@10
random,78.76833822381157,77.17080349908223,93.42268450382815,96.10239280339987,98.22565442428852
EC_split_N2,71.57226269742601,70.72415663996425,91.51161182565772,94.69568825200268,97.5127394972287
